regime,variant,r,stage1_kernel,stage1_label,n_selected
same_mean_diff_covariance,MY-large_mu,20,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-large_mu,20,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-large_mu,20,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-large_mu,24,rbf,rbf(gamma=0.001517371612859597),1
same_mean_diff_covariance,MY-large_mu,24,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-large_mu,24,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-large_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-large_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-large_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-large_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-large_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-large_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-small_mu,1,linear,linear,1
same_mean_diff_covariance,MY-small_mu,1,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-small_mu,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-small_mu,2,linear,linear,1
same_mean_diff_covariance,MY-small_mu,2,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-small_mu,2,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-small_mu,3,linear,linear,1
same_mean_diff_covariance,MY-small_mu,3,rbf,rbf(gamma=0.0015153536519245177),1
same_mean_diff_covariance,MY-small_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-small_mu,4,linear,linear,2
same_mean_diff_covariance,MY-small_mu,4,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-small_mu,5,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-small_mu,5,sigmoid,"sigmoid(coef0=0.0, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-small_mu,5,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-small_mu,6,linear,linear,1
same_mean_diff_covariance,MY-small_mu,6,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.001517371612859597)",1
same_mean_diff_covariance,MY-small_mu,6,sigmoid,"sigmoid(coef0=0.0, gamma=0.00152749548677943)",1
same_mean_diff_covariance,MY-small_mu,7,laplacian,laplacian(gamma=0.001517371612859597),1
same_mean_diff_covariance,MY-small_mu,7,linear,linear,1
same_mean_diff_covariance,MY-small_mu,7,sigmoid,"sigmoid(coef0=0.0, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-small_mu,8,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",1
same_mean_diff_covariance,MY-small_mu,8,rbf,rbf(gamma=0.001517371612859597),1
