task,rep,family,method,algo,r,stage1_kernel,acc,openml_id
waveform-5000,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.794,60
waveform-5000,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.8445,60
waveform-5000,0,KFDA,KFDA-1D,kfda,1,laplacian,0.8305,60
waveform-5000,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.853,60
waveform-5000,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.863,60
waveform-5000,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.8615,60
waveform-5000,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.856,60
waveform-5000,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.857,60
waveform-5000,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.8505,60
waveform-5000,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.8595,60
waveform-5000,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,0.89,60
waveform-5000,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.6615,60
waveform-5000,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.6595,60
waveform-5000,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.653,60
waveform-5000,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.6585,60
waveform-5000,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.663,60
waveform-5000,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.6885,60
waveform-5000,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.751,60
waveform-5000,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.8205,60
hypothyroid,0,KFDA,KFDA-1D,kfda,1,linear,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.94831013916501,57
hypothyroid,0,KFDA,KFDA-1D,kfda,1,rbf,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.94831013916501,57
hypothyroid,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.9469847581179589,57
hypothyroid,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.953611663353214,57
hypothyroid,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.9476474486414844,57
hypothyroid,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.9516235917826376,57
hypothyroid,0,KFDA,KFDA-1D,kfda,1,laplacian,0.9443339960238568,57
hypothyroid,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.979456593770709,57
hypothyroid,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.9662027833001988,57
hypothyroid,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.9648774022531478,57
hypothyroid,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.9655400927766733,57
hypothyroid,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.9542743538767395,57
hypothyroid,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.9502982107355865,57
hypothyroid,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.9642147117296223,57
hypothyroid,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,0.9768058316766071,57
hypothyroid,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.94831013916501,57
hypothyroid,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.92909211398277,57
hypothyroid,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.9350563286944996,57
hypothyroid,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.9430086149768059,57
hypothyroid,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.9469847581179589,57
hypothyroid,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.9542743538767395,57
hypothyroid,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.9622266401590457,57
