pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
airplane vs ship,airplane,ship,0,large_mu,8,laplacian,0.9125,0.1
airplane vs ship,airplane,ship,0,large_mu,10,laplacian,0.915,1.0
airplane vs ship,airplane,ship,0,large_mu,16,laplacian,0.915,1.0
airplane vs ship,airplane,ship,0,large_mu,24,laplacian,0.92,0.1
airplane vs ship,airplane,ship,0,large_mu,1,polynomial,0.8875,10.0
airplane vs ship,airplane,ship,0,large_mu,2,polynomial,0.895,10.0
airplane vs ship,airplane,ship,0,large_mu,4,polynomial,0.895,10.0
airplane vs ship,airplane,ship,0,large_mu,6,polynomial,0.8775,0.1
airplane vs ship,airplane,ship,0,large_mu,8,polynomial,0.8775,0.1
airplane vs ship,airplane,ship,0,large_mu,10,polynomial,0.8975,10.0
airplane vs ship,airplane,ship,0,large_mu,16,polynomial,0.885,1.0
airplane vs ship,airplane,ship,0,large_mu,24,polynomial,0.8925,1.0
airplane vs ship,airplane,ship,0,large_mu,1,sigmoid,0.6175,0.1
airplane vs ship,airplane,ship,0,large_mu,2,sigmoid,0.6025,0.1
airplane vs ship,airplane,ship,0,large_mu,4,sigmoid,0.6075,1.0
airplane vs ship,airplane,ship,0,large_mu,6,sigmoid,0.6225,0.1
airplane vs ship,airplane,ship,0,large_mu,8,sigmoid,0.6275,0.1
airplane vs ship,airplane,ship,0,large_mu,10,sigmoid,0.63,0.1
airplane vs ship,airplane,ship,0,large_mu,16,sigmoid,0.6525,0.1
airplane vs ship,airplane,ship,0,large_mu,24,sigmoid,0.67,10.0
airplane vs ship,airplane,ship,0,small_mu,1,linear,0.4325,0.1
airplane vs ship,airplane,ship,0,small_mu,2,linear,0.4775,1.0
airplane vs ship,airplane,ship,0,small_mu,4,linear,0.4775,0.1
airplane vs ship,airplane,ship,0,small_mu,6,linear,0.4825,1.0
airplane vs ship,airplane,ship,0,small_mu,8,linear,0.565,0.1
airplane vs ship,airplane,ship,0,small_mu,10,linear,0.5475,10.0
airplane vs ship,airplane,ship,0,small_mu,16,linear,0.5825,1.0
airplane vs ship,airplane,ship,0,small_mu,24,linear,0.6225,1.0
airplane vs ship,airplane,ship,0,small_mu,1,rbf,0.635,0.1
airplane vs ship,airplane,ship,0,small_mu,2,rbf,0.6525,0.1
airplane vs ship,airplane,ship,0,small_mu,4,rbf,0.6425,0.1
airplane vs ship,airplane,ship,0,small_mu,6,rbf,0.6475,1.0
airplane vs ship,airplane,ship,0,small_mu,8,rbf,0.6375,1.0
airplane vs ship,airplane,ship,0,small_mu,10,rbf,0.64,0.1
airplane vs ship,airplane,ship,0,small_mu,16,rbf,0.68,0.1
airplane vs ship,airplane,ship,0,small_mu,24,rbf,0.705,0.1
airplane vs ship,airplane,ship,0,small_mu,1,laplacian,0.6175,0.1
airplane vs ship,airplane,ship,0,small_mu,2,laplacian,0.6,10.0
airplane vs ship,airplane,ship,0,small_mu,4,laplacian,0.5475,1.0
airplane vs ship,airplane,ship,0,small_mu,6,laplacian,0.65,0.1
airplane vs ship,airplane,ship,0,small_mu,8,laplacian,0.6425,0.1
airplane vs ship,airplane,ship,0,small_mu,10,laplacian,0.645,0.1
airplane vs ship,airplane,ship,0,small_mu,16,laplacian,0.7125,0.1
airplane vs ship,airplane,ship,0,small_mu,24,laplacian,0.715,1.0
airplane vs ship,airplane,ship,0,small_mu,1,polynomial,0.53,0.1
airplane vs ship,airplane,ship,0,small_mu,2,polynomial,0.5275,0.1
airplane vs ship,airplane,ship,0,small_mu,4,polynomial,0.64,0.1
airplane vs ship,airplane,ship,0,small_mu,6,polynomial,0.63,1.0
airplane vs ship,airplane,ship,0,small_mu,8,polynomial,0.605,1.0
airplane vs ship,airplane,ship,0,small_mu,10,polynomial,0.595,1.0
airplane vs ship,airplane,ship,0,small_mu,16,polynomial,0.6125,1.0
airplane vs ship,airplane,ship,0,small_mu,24,polynomial,0.635,0.1
airplane vs ship,airplane,ship,0,small_mu,1,sigmoid,0.52,0.1
airplane vs ship,airplane,ship,0,small_mu,2,sigmoid,0.525,0.1
airplane vs ship,airplane,ship,0,small_mu,4,sigmoid,0.545,1.0
airplane vs ship,airplane,ship,0,small_mu,6,sigmoid,0.56,1.0
airplane vs ship,airplane,ship,0,small_mu,8,sigmoid,0.5675,0.1
airplane vs ship,airplane,ship,0,small_mu,10,sigmoid,0.58,10.0
airplane vs ship,airplane,ship,0,small_mu,16,sigmoid,0.5975,10.0
airplane vs ship,airplane,ship,0,small_mu,24,sigmoid,0.6375,1.0
airplane vs ship,airplane,ship,1,large_mu,1,linear,0.86,0.1
airplane vs ship,airplane,ship,1,large_mu,2,linear,0.86,0.1
airplane vs ship,airplane,ship,1,large_mu,4,linear,0.86,0.1
airplane vs ship,airplane,ship,1,large_mu,6,linear,0.8575,0.1
airplane vs ship,airplane,ship,1,large_mu,8,linear,0.8575,0.1
airplane vs ship,airplane,ship,1,large_mu,10,linear,0.86,1.0
airplane vs ship,airplane,ship,1,large_mu,16,linear,0.8475,10.0
airplane vs ship,airplane,ship,1,large_mu,24,linear,0.845,10.0
airplane vs ship,airplane,ship,1,large_mu,1,rbf,0.86,0.1
airplane vs ship,airplane,ship,1,large_mu,2,rbf,0.86,10.0
airplane vs ship,airplane,ship,1,large_mu,4,rbf,0.8725,0.1
airplane vs ship,airplane,ship,1,large_mu,6,rbf,0.8725,0.1
airplane vs ship,airplane,ship,1,large_mu,8,rbf,0.8725,0.1
airplane vs ship,airplane,ship,1,large_mu,10,rbf,0.8775,0.1
airplane vs ship,airplane,ship,1,large_mu,16,rbf,0.8675,0.1
airplane vs ship,airplane,ship,1,large_mu,24,rbf,0.875,0.1
airplane vs ship,airplane,ship,1,large_mu,1,laplacian,0.875,1.0
airplane vs ship,airplane,ship,1,large_mu,2,laplacian,0.8775,1.0
airplane vs ship,airplane,ship,1,large_mu,4,laplacian,0.875,0.1
airplane vs ship,airplane,ship,1,large_mu,6,laplacian,0.875,1.0
airplane vs ship,airplane,ship,1,large_mu,8,laplacian,0.8775,0.1
airplane vs ship,airplane,ship,1,large_mu,10,laplacian,0.875,0.1
airplane vs ship,airplane,ship,1,large_mu,16,laplacian,0.88,1.0
airplane vs ship,airplane,ship,1,large_mu,24,laplacian,0.8875,1.0
airplane vs ship,airplane,ship,1,large_mu,1,polynomial,0.8625,10.0
airplane vs ship,airplane,ship,1,large_mu,2,polynomial,0.8625,10.0
airplane vs ship,airplane,ship,1,large_mu,4,polynomial,0.855,10.0
airplane vs ship,airplane,ship,1,large_mu,6,polynomial,0.8625,1.0
airplane vs ship,airplane,ship,1,large_mu,8,polynomial,0.8675,1.0
airplane vs ship,airplane,ship,1,large_mu,10,polynomial,0.8625,0.1
airplane vs ship,airplane,ship,1,large_mu,16,polynomial,0.8675,0.1
airplane vs ship,airplane,ship,1,large_mu,24,polynomial,0.875,1.0
airplane vs ship,airplane,ship,1,large_mu,1,sigmoid,0.675,0.1
airplane vs ship,airplane,ship,1,large_mu,2,sigmoid,0.6725,1.0
airplane vs ship,airplane,ship,1,large_mu,4,sigmoid,0.65,1.0
airplane vs ship,airplane,ship,1,large_mu,6,sigmoid,0.635,0.1
airplane vs ship,airplane,ship,1,large_mu,8,sigmoid,0.645,1.0
airplane vs ship,airplane,ship,1,large_mu,10,sigmoid,0.6425,1.0
airplane vs ship,airplane,ship,1,large_mu,16,sigmoid,0.655,0.1
airplane vs ship,airplane,ship,1,large_mu,24,sigmoid,0.6725,0.1
airplane vs ship,airplane,ship,1,small_mu,1,linear,0.4775,0.1
airplane vs ship,airplane,ship,1,small_mu,2,linear,0.49,0.1
airplane vs ship,airplane,ship,1,small_mu,4,linear,0.5275,1.0
airplane vs ship,airplane,ship,1,small_mu,6,linear,0.5175,1.0
airplane vs ship,airplane,ship,1,small_mu,8,linear,0.5575,1.0
airplane vs ship,airplane,ship,1,small_mu,10,linear,0.5625,0.1
airplane vs ship,airplane,ship,1,small_mu,16,linear,0.5975,0.1
airplane vs ship,airplane,ship,1,small_mu,24,linear,0.6175,10.0
airplane vs ship,airplane,ship,1,small_mu,1,rbf,0.59,0.1
airplane vs ship,airplane,ship,1,small_mu,2,rbf,0.585,0.1
airplane vs ship,airplane,ship,1,small_mu,4,rbf,0.58,1.0
airplane vs ship,airplane,ship,1,small_mu,6,rbf,0.585,1.0
airplane vs ship,airplane,ship,1,small_mu,8,rbf,0.5925,0.1
