pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
ship vs truck,ship,truck,0,small_mu,4,laplacian,0.59,0.1
ship vs truck,ship,truck,0,small_mu,6,rbf,0.615,0.1
ship vs truck,ship,truck,0,small_mu,8,rbf,0.6125,0.1
ship vs truck,ship,truck,0,small_mu,10,rbf,0.6225,0.1
ship vs truck,ship,truck,0,small_mu,16,laplacian,0.66,10.0
ship vs truck,ship,truck,0,small_mu,24,laplacian,0.6725,0.1
ship vs truck,ship,truck,1,large_mu,1,laplacian,0.9675,1.0
ship vs truck,ship,truck,1,large_mu,2,laplacian,0.97,0.1
ship vs truck,ship,truck,1,large_mu,4,laplacian,0.965,0.1
ship vs truck,ship,truck,1,large_mu,6,rbf,0.97,1.0
ship vs truck,ship,truck,1,large_mu,8,rbf,0.9675,0.1
ship vs truck,ship,truck,1,large_mu,10,laplacian,0.9675,0.1
ship vs truck,ship,truck,1,large_mu,16,laplacian,0.97,0.1
ship vs truck,ship,truck,1,large_mu,24,laplacian,0.9725,0.1
ship vs truck,ship,truck,1,small_mu,1,rbf,0.5775,0.1
ship vs truck,ship,truck,1,small_mu,2,linear,0.5425,0.1
ship vs truck,ship,truck,1,small_mu,4,rbf,0.6175,10.0
ship vs truck,ship,truck,1,small_mu,6,rbf,0.61,1.0
ship vs truck,ship,truck,1,small_mu,8,rbf,0.63,0.1
ship vs truck,ship,truck,1,small_mu,10,rbf,0.61,1.0
ship vs truck,ship,truck,1,small_mu,16,rbf,0.6375,0.1
ship vs truck,ship,truck,1,small_mu,24,laplacian,0.6775,10.0
ship vs truck,ship,truck,2,large_mu,1,laplacian,0.97,0.1
ship vs truck,ship,truck,2,large_mu,2,laplacian,0.965,1.0
ship vs truck,ship,truck,2,large_mu,4,laplacian,0.9675,0.1
ship vs truck,ship,truck,2,large_mu,6,laplacian,0.97,0.1
ship vs truck,ship,truck,2,large_mu,8,laplacian,0.97,0.1
ship vs truck,ship,truck,2,large_mu,10,laplacian,0.9675,0.1
ship vs truck,ship,truck,2,large_mu,16,laplacian,0.9625,0.1
ship vs truck,ship,truck,2,large_mu,24,laplacian,0.9625,0.1
ship vs truck,ship,truck,2,small_mu,1,sigmoid,0.555,0.1
ship vs truck,ship,truck,2,small_mu,2,rbf,0.575,1.0
ship vs truck,ship,truck,2,small_mu,4,rbf,0.6125,0.1
ship vs truck,ship,truck,2,small_mu,6,rbf,0.62,1.0
ship vs truck,ship,truck,2,small_mu,8,rbf,0.6425,0.1
ship vs truck,ship,truck,2,small_mu,10,rbf,0.68,1.0
ship vs truck,ship,truck,2,small_mu,16,rbf,0.7075,0.1
ship vs truck,ship,truck,2,small_mu,24,laplacian,0.805,1.0
