pair,class0,class1,rep,m,r,stage1_kernel,family,class0_bags,class1_bags,stable_r_limit,coordinate_rank,available_directions,D_mu,D_covariance,heuristic_family,evaluation_protocol,status,status_detail,acc,probe_C
airplane vs bird,airplane,bird,0,8,10,rbf,large_mu,37,37,37,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,0.1
airplane vs bird,airplane,bird,0,8,16,rbf,large_mu,37,37,37,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,0.1
airplane vs bird,airplane,bird,0,8,24,rbf,large_mu,37,37,37,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,10.0
airplane vs bird,airplane,bird,0,8,1,rbf,small_mu,37,37,36,73,24,28661.18499383355,48906.02727107413,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
airplane vs bird,airplane,bird,0,8,2,rbf,small_mu,37,37,36,73,24,28661.18499383355,48906.02727107413,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
airplane vs bird,airplane,bird,0,8,4,rbf,small_mu,37,37,36,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,1.0
airplane vs bird,airplane,bird,0,8,6,rbf,small_mu,37,37,36,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,1.0
airplane vs bird,airplane,bird,0,8,8,rbf,small_mu,37,37,36,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,0,8,10,rbf,small_mu,37,37,36,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,0,8,16,rbf,small_mu,37,37,36,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,0.1
airplane vs bird,airplane,bird,0,8,24,rbf,small_mu,37,37,36,73,24,28661.18499383355,48906.02727107413,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,0,8,1,laplacian,large_mu,37,37,37,73,24,22203.94789460918,36717.28564997327,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9375,0.1
airplane vs bird,airplane,bird,0,8,2,laplacian,large_mu,37,37,37,73,24,22203.94789460918,36717.28564997327,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9375,0.1
airplane vs bird,airplane,bird,0,8,4,laplacian,large_mu,37,37,37,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,0.1
airplane vs bird,airplane,bird,0,8,6,laplacian,large_mu,37,37,37,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,10.0
airplane vs bird,airplane,bird,0,8,8,laplacian,large_mu,37,37,37,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,0,8,10,laplacian,large_mu,37,37,37,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
airplane vs bird,airplane,bird,0,8,16,laplacian,large_mu,37,37,37,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,0,8,24,laplacian,large_mu,37,37,37,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,0,8,1,laplacian,small_mu,37,37,36,73,24,22203.94789460918,36717.28564997327,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,10.0
airplane vs bird,airplane,bird,0,8,2,laplacian,small_mu,37,37,36,73,24,22203.94789460918,36717.28564997327,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,0.1
airplane vs bird,airplane,bird,0,8,4,laplacian,small_mu,37,37,36,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,1.0
airplane vs bird,airplane,bird,0,8,6,laplacian,small_mu,37,37,36,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,0,8,8,laplacian,small_mu,37,37,36,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,0,8,10,laplacian,small_mu,37,37,36,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,0,8,16,laplacian,small_mu,37,37,36,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,0,8,24,laplacian,small_mu,37,37,36,73,24,22203.94789460918,36717.28564997327,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,1.0
airplane vs bird,airplane,bird,0,8,1,polynomial,large_mu,37,37,37,73,24,157655.78293958268,151876.943934273,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,0.1
airplane vs bird,airplane,bird,0,8,2,polynomial,large_mu,37,37,37,73,24,157655.78293958268,151876.943934273,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,0.1
airplane vs bird,airplane,bird,0,8,4,polynomial,large_mu,37,37,37,73,24,157655.78293958268,151876.943934273,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,0.1
airplane vs bird,airplane,bird,0,8,6,polynomial,large_mu,37,37,37,73,24,157655.78293958268,151876.943934273,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,0.1
airplane vs bird,airplane,bird,0,8,8,polynomial,large_mu,37,37,37,73,24,157655.78293958268,151876.943934273,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,1.0
airplane vs bird,airplane,bird,0,8,10,polynomial,large_mu,37,37,37,73,24,157655.78293958268,151876.943934273,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,10.0
airplane vs bird,airplane,bird,0,8,16,polynomial,large_mu,37,37,37,73,24,157655.78293958268,151876.943934273,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,1.0
airplane vs bird,airplane,bird,0,8,24,polynomial,large_mu,37,37,37,73,24,157655.78293958268,151876.943934273,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,0,8,1,polynomial,small_mu,37,37,36,73,24,157655.78293958268,151876.943934273,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
