pair,class0,class1,m,r,me_large_acc,me_large_std,me_small_acc,me_small_std,original_large_acc,original_large_std,original_small_acc,original_small_std,kfda_acc,kfda_std,supcon_acc,supcon_std,original_best_acc,original_best_family,me_best_acc,me_best_family,me_minus_original,me_minus_kfda,me_minus_supcon,me_original_abs_gap,minimum_baseline_margin,me_retains_original_and_wins
automobile vs truck,automobile,truck,8,1,0.91,0.0066143782776614925,0.91,0.016393596310754974,0.9033333333333333,0.008779711460710623,0.6041666666666666,0.01755942292142126,0.8916666666666666,0.01010362971081847,0.8958333333333334,0.003818813079129873,0.9033333333333333,large_mu,0.91,large_mu,0.00666666666666671,0.018333333333333424,0.01416666666666666,0.00666666666666671,0.01416666666666666,True
automobile vs truck,automobile,truck,8,2,0.9108333333333333,0.01040832999733062,0.9108333333333333,0.01233220715579062,0.9025,0.01145643923738965,0.6108333333333333,0.02020725942163686,0.8916666666666666,0.01010362971081847,0.8958333333333334,0.0014433756729740177,0.9025,large_mu,0.9108333333333333,large_mu,0.008333333333333304,0.019166666666666665,0.014999999999999902,0.008333333333333304,0.014999999999999902,True
automobile vs truck,automobile,truck,8,4,0.9158333333333334,0.008036375634160799,0.9141666666666667,0.015069284433354287,0.9041666666666667,0.009464847243000504,0.6058333333333333,0.03818813079129867,0.8916666666666666,0.01010362971081847,0.895,0.0,0.9041666666666667,large_mu,0.9158333333333334,large_mu,0.011666666666666714,0.02416666666666678,0.02083333333333337,0.011666666666666714,0.02083333333333337,True
automobile vs truck,automobile,truck,8,6,0.9133333333333334,0.011273124382057275,0.9158333333333334,0.014215601757693297,0.9049999999999999,0.008660254037844393,0.6258333333333334,0.036429154990657325,0.8916666666666666,0.01010362971081847,0.895,0.0,0.9049999999999999,large_mu,0.9158333333333334,small_mu,0.010833333333333472,0.02416666666666678,0.02083333333333337,0.010833333333333472,0.02083333333333337,True
automobile vs truck,automobile,truck,8,8,0.9133333333333334,0.014215601757693352,0.9166666666666666,0.01282900359861724,0.9049999999999999,0.008660254037844393,0.6483333333333333,0.0376109469879892,0.8916666666666666,0.01010362971081847,0.8958333333333334,0.003818813079129855,0.9049999999999999,large_mu,0.9166666666666666,small_mu,0.011666666666666714,0.025000000000000022,0.02083333333333326,0.011666666666666714,0.02083333333333326,True
automobile vs truck,automobile,truck,8,10,0.9133333333333334,0.012583057392117937,0.9133333333333334,0.014215601757693352,0.9066666666666666,0.0118145390656316,0.6666666666666666,0.026731691553909073,0.8916666666666666,0.01010362971081847,0.8941666666666667,0.008779711460710597,0.9066666666666666,large_mu,0.9133333333333334,large_mu,0.006666666666666821,0.021666666666666834,0.019166666666666776,0.006666666666666821,0.019166666666666776,True
automobile vs truck,automobile,truck,8,16,0.9133333333333334,0.014215601757693352,0.915,0.011456439237389654,0.9041666666666667,0.005204164998665346,0.6883333333333334,0.015069284433354304,0.8916666666666666,0.01010362971081847,0.8983333333333333,0.008779711460710594,0.9041666666666667,large_mu,0.915,small_mu,0.010833333333333361,0.023333333333333428,0.01666666666666672,0.010833333333333361,0.01666666666666672,True
automobile vs truck,automobile,truck,8,24,0.9125,0.012500000000000025,0.9158333333333334,0.013768926368215325,0.9075000000000001,0.004330127018922181,0.6841666666666666,0.036429154990657325,0.8916666666666666,0.01010362971081847,0.895,0.00866025403784441,0.9075000000000001,large_mu,0.9158333333333334,small_mu,0.008333333333333304,0.02416666666666678,0.02083333333333337,0.008333333333333304,0.02083333333333337,True
automobile vs truck,automobile,truck,16,1,0.9066666666666666,0.01181453906563159,0.9075000000000001,0.009013878188659912,0.9033333333333333,0.008779711460710623,0.6041666666666666,0.01755942292142126,0.8916666666666666,0.01010362971081847,0.8958333333333334,0.003818813079129873,0.9033333333333333,large_mu,0.9075000000000001,small_mu,0.004166666666666763,0.015833333333333477,0.011666666666666714,0.004166666666666763,0.011666666666666714,True
automobile vs truck,automobile,truck,16,2,0.9058333333333333,0.010408329997330698,0.9091666666666667,0.01181453906563149,0.9025,0.01145643923738965,0.6108333333333333,0.02020725942163686,0.8916666666666666,0.01010362971081847,0.8958333333333334,0.0014433756729740177,0.9025,large_mu,0.9091666666666667,small_mu,0.00666666666666671,0.01750000000000007,0.013333333333333308,0.00666666666666671,0.013333333333333308,True
automobile vs truck,automobile,truck,16,4,0.9083333333333333,0.008779711460710594,0.9116666666666667,0.007637626158259777,0.9041666666666667,0.009464847243000504,0.6058333333333333,0.03818813079129867,0.8916666666666666,0.01010362971081847,0.895,0.0,0.9041666666666667,large_mu,0.9116666666666667,small_mu,0.007500000000000062,0.02000000000000013,0.01666666666666672,0.007500000000000062,0.01666666666666672,True
